"_id","_labels","def_int","def_int_long","def_int_td","def_int_yds","fumbles_forced","fumbles_rec","fumbles_rec_td","fumbles_rec_yds","game_code","label","pass_defended","player","player_code","qb_hits","sacks","tackles_assists","tackles_combined","tackles_loss","tackles_solo","team","year","_start","_end","_type"
"208075",":stat_player_game_def","","","","","0","0","0","0","200710140chi","200710140chi_25","0","Brian Urlacher","U/UrlaBr00","0","0.0","0","5","0","5","CHI","2007",,,
"208076",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160tam","200709160tam_23","1","Jovan Haye","H/HayeJo20","1","1.0","0","3","1","3","TAM","2007",,,
"208077",":stat_player_game_def","0","0","0","0","1","0","0","0","200709300nyg","200709300nyg_23","0","Reuben Droughns","D/DrouRe00","0","0.0","0","1","0","1","NYG","2007",,,
"208078",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160crd","200709160crd_24","0","Sean Morey","M/MoreSe00","0","0.0","1","1","0","0","ARI","2007",,,
"208079",":stat_player_game_def","0","0","0","0","0","1","0","0","200710210dal","200710210dal_24","0","Tony Romo","R/RomoTo00","","0.0","","","","","DAL","2007",,,
"208080",":stat_player_game_def","0","0","0","0","0","0","0","0","200709090nyj","200709090nyj_24","0","Stacy Tutt","T/TuttSt00","0","0.0","0","1","0","1","NYJ","2007",,,
"208081",":stat_player_game_def","0","0","0","0","0","0","0","0","200709090dal","200709090dal_22","0","Jay Ratliff","R/RatlJa20","1","1.0","0","3","1","3","DAL","2007",,,
"208082",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160rav","200709160rav_24","1","Dawan Landry","L/LandDa21","1","1.0","0","4","1","4","BAL","2007",,,
"208083",":stat_player_game_def","0","0","0","0","0","0","0","0","200709230was","200709230was_23","0","Rock Cartwright","C/CartRo01","0","0.0","1","1","0","0","WAS","2007",,,
"208084",":stat_player_game_def","","","","","0","0","0","0","200710140chi","200710140chi_26","0","Anthony Adams","A/AdamAn20","0","0.0","2","4","1","2","CHI","2007",,,
"208085",":stat_player_game_def","0","0","0","0","0","1","0","0","200709160ram","200709160ram_25","0","Chris Massey","M/MassCh00","0","0.0","0","0","0","0","STL","2007",,,
"208086",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160tam","200709160tam_24","0","Stylez G. White","W/WhitGr99","","1.0","","","","","TAM","2007",,,
"208087",":stat_player_game_def","","","","","0","0","0","0","200710210dal","200710210dal_25","1","Roy Williams","W/WillRo03","0","0.0","2","4","0","2","DAL","2007",,,
"208088",":stat_player_game_def","","","","","1","0","0","0","200709160crd","200709160crd_25","0","Gerald Hayes","H/HayeGe20","0","0.0","1","8","0","7","ARI","2007",,,
"208089",":stat_player_game_def","0","0","0","0","0","0","0","0","200709090nyj","200709090nyj_25","0","Wallace Wright","W/WrigWa00","0","0.0","0","1","0","1","NYJ","2007",,,
"208090",":stat_player_game_def","0","0","0","0","0","0","0","0","200709300nyg","200709300nyg_24","0","R.W. McQuarters","M/McQuR.20","0","0.0","0","1","0","1","NYG","2007",,,
