"_id","_labels","fga","fgm","game_code","label","player","player_code","punt","punt_long","punt_yds","punt_yds_per_punt","team","xpa","xpm","year","_start","_end","_type"
"262631",":stat_player_game_kick","","","200309070sea","200309070sea_2","Mitch Berger","B/BergMi20","5","56","230","46.0","NOR","","","2003",,,
"262633",":stat_player_game_kick","2","2","200309070sea","200309070sea_3","Josh Brown","B/brownjos01","0","","0","","SEA","3","3","2003",,,
"262635",":stat_player_game_kick","","","200309070sea","200309070sea_4","Tom Rouen","R/rouentom01","7","49","296","42.3","SEA","","","2003",,,
"262639",":stat_player_game_kick","2","2","200312280htx","200312280htx_1","Mike Vanderjagt","V/vandemik01","1","29","29","29.0","IND","2","2","2003",,,
"262641",":stat_player_game_kick","","","200312280htx","200312280htx_2","Hunter Smith","S/SmitHu21","4","49","175","43.8","IND","","","2003",,,
"262643",":stat_player_game_kick","1","1","200312280htx","200312280htx_3","Kris Brown","B/brownkri01","0","","0","","HOU","2","2","2003",,,
"262645",":stat_player_game_kick","","","200312280htx","200312280htx_4","Chad Stanley","S/StanCh20","7","53","332","47.4","HOU","","","2003",,,
"262658",":stat_player_game_kick","","","200312070den","200312070den_1","Morten Andersen","A/andermor01","0","","0","","KAN","3","3","2003",,,
"262659",":stat_player_game_kick","","","200312070den","200312070den_2","Jason Baker","B/BakeJa20","3","53","138","46.0","KAN","","","2003",,,
"262661",":stat_player_game_kick","1","1","200312070den","200312070den_3","Jason Elam","E/elamxjas01","0","","0","","DEN","6","6","2003",,,
"262662",":stat_player_game_kick","","","200312070den","200312070den_4","Micah Knorr","K/knorrmic01","2","45","73","36.5","DEN","","","2003",,,
"262666",":stat_player_game_kick","","","200312200min","200312200min_1","Morten Andersen","A/andermor01","0","","0","","KAN","2","2","2003",,,
"262669",":stat_player_game_kick","","","200312200min","200312200min_2","Jason Baker","B/BakeJa20","4","45","166","41.5","KAN","","","2003",,,
"262670",":stat_player_game_kick","1","1","200312200min","200312200min_3","Aaron Elling","E/ellinaar01","0","","0","","MIN","6","6","2003",,,
