"_id","_labels","game_code","kick_ret","kick_ret_long","kick_ret_td","kick_ret_yds","kick_ret_yds_per_ret","label","player","player_code","punt_ret","punt_ret_long","punt_ret_td","punt_ret_yds","punt_ret_yds_per_ret","team","_start","_end","_type"
"12344",":stat_player_game_return","201910200cin","3","61","0","98","32.7","201910200cin_3","Brandon Wilson","W/WilsBr01","0","0","0","0","","CIN",,,
"12382",":stat_player_game_return","201910060dal","1","23","0","23","23.0","201910060dal_1","Tremon Smith","S/SmitTr04","0","0","0","0","","GNB",,,
"12391",":stat_player_game_return","201910060dal","0","0","0","0","","201910060dal_2","Tavon Austin","A/AustTa00","3","10","0","18","6.0","DAL",,,
"12392",":stat_player_game_return","201909220min","0","0","0","0","","201909220min_1","Jalen Richard","R/RichJa01","2","0","0","0","0.0","OAK",,,
"12400",":stat_player_game_return","201910060dal","3","28","0","73","24.3","201910060dal_3","Tony Pollard","P/PollTo00","0","0","0","0","","DAL",,,
"12404",":stat_player_game_return","201911100clt","0","0","0","0","","201911100clt_1","Marcus Sherels","S/SherMa20","2","10","0","16","8.0","MIA",,,
"12408",":stat_player_game_return","201909220min","0","0","0","0","","201909220min_2","Chad Beebe","B/BeebCh00","3","13","0","21","7.0","MIN",,,
"12410",":stat_player_game_return","201909290clt","2","24","0","33","16.5","201909290clt_1","Trevor Davis","D/DaviTr03","2","3","0","4","2.0","OAK",,,
"12414",":stat_player_game_return","201911100clt","0","0","0","0","","201911100clt_2","Chester Rogers","R/RogeCh02","3","21","0","38","12.7","IND",,,
"12415",":stat_player_game_return","201909220min","1","25","0","25","25.0","201909220min_3","Ameer Abdullah","A/AbduAm00","0","0","0","0","","MIN",,,
"12416",":stat_player_game_return","201909290clt","0","0","0","0","","201909290clt_2","Chester Rogers","R/RogeCh02","3","19","0","35","11.7","IND",,,
"12424",":stat_player_game_return","201909290clt","1","18","0","18","18.0","201909290clt_3","Zach Pascal","P/PascZa00","0","0","0","0","","IND",,,
"12446",":stat_player_game_return","201911240was","0","0","0","0","","201911240was_1","Danny Amendola","A/AmenDa00","2","15","0","15","7.5","DET",,,
