"_id","_labels","blitzes","def_air_yds","def_cmp","def_cmp_perc","def_cmp_td","def_cmp_yds","def_int","def_pass_rating","def_targets","def_tgt_yds_per_att","def_yac","def_yds_per_cmp","def_yds_per_target","game_code","label","player","player_code","pressures","qb_hurry","qb_knockdown","sacks","tackles_combined","tackles_missed","tackles_missed_pct","team","_start","_end","_type"
"5619",":stat_player_game_def_adv","1","27","2","100.0%","0","33","0","118.7","2","13.5","6","16.5","16.5","201911170mia","201911170mia_8","Jordan Poyer","P/PoyeJo00","0","0","0","0.0","6","0","0.0%","BUF",,,
"5621",":stat_player_game_def_adv","1","13","4","66.7%","0","26","0","75.7","6","8.8","13","6.5","4.3","201911240nwe","201911240nwe_1","Sean Lee","L/LeexSe99","0","0","0","0.0","6","1","14.3%","DAL",,,
"5623",":stat_player_game_def_adv","3","31","2","66.7%","1","35","0","145.8","3","10.0","4","17.5","11.7","201912010pit","201912010pit_2","T.J. Carrie","C/CarrTr00","1","1","0","0.0","5","1","16.7%","CLE",,,
"5624",":stat_player_game_def_adv","0","30","3","60.0%","0","38","0","83.7","5","9.8","8","12.7","7.6","201911170sfo","201911170sfo_7","Byron Murphy","M/MurpBy00","0","0","0","0.0","5","1","16.7%","ARI",,,
"5626",":stat_player_game_def_adv","4","46","4","66.7%","0","47","0","90.3","6","14.8","1","11.8","7.8","201911250ram","201911250ram_2","Brandon Carr","C/CarrBr99","1","0","1","0.0","4","0","0.0%","BAL",,,
"5627",":stat_player_game_def_adv","7","-5","2","100.0%","0","2","0","79.2","2","-2.5","7","1.0","1.0","201911280det","201911280det_4","Leonard Floyd","F/FloyLe00","2","2","0","0.0","3","1","25.0%","CHI",,,
"5629",":stat_player_game_def_adv","0","6","1","100.0%","0","6","0","91.7","1","6.0","0","6.0","6.0","201911170mia","201911170mia_9","Shaq Lawson","L/LawsSh00","2","0","1","1.0","2","0","0.0%","BUF",,,
"5630",":stat_player_game_def_adv","0","27","4","80.0%","0","53","0","110.8","5","7.8","26","13.3","10.6","201911240nwe","201911240nwe_2","Chidobe Awuzie","A/AwuzCh00","0","0","0","0.0","7","1","12.5%","DAL",,,
"5632",":stat_player_game_def_adv","0","56","2","50.0%","0","59","0","95.8","4","29.3","3","29.5","14.8","201912010pit","201912010pit_3","Greedy Williams","W/WillGr00","0","0","0","0.0","3","1","25.0%","CLE",,,
"5634",":stat_player_game_def_adv","1","31","4","80.0%","0","35","1","56.2","5","15.2","4","8.8","7.0","201911250ram","201911250ram_3","Marcus Peters","P/PeteMa00","0","0","0","0.0","8","0","0.0%","BAL",,,
"5635",":stat_player_game_def_adv","7","-6","2","100.0%","0","11","0","89.6","2","-3.0","17","5.5","5.5","201911170sfo","201911170sfo_8","Cassius Marsh","M/MarsCa00","1","0","1","0.0","4","0","0.0%","ARI",,,
"5636",":stat_player_game_def_adv","10","","0","","","","0","","0","","","","","201911240buf","201911240buf_7","Von Miller","M/MillVo00","2","1","0","1.0","3","0","0.0%","DEN",,,
