"_id","_labels","game_code","kick_ret","kick_ret_long","kick_ret_td","kick_ret_yds","kick_ret_yds_per_ret","label","player","player_code","punt_ret","punt_ret_long","punt_ret_td","punt_ret_yds","punt_ret_yds_per_ret","team","year","_start","_end","_type"
"44834",":stat_player_game_return","201210140mia","1","20","0","20","20.0","201210140mia_2","Chris Givens","G/GiveCh00","0","0","0","0","","STL","2012",,,
"44836",":stat_player_game_return","201210070clt","3","35","0","95","31.7","201210070clt_1","Randall Cobb","C/CobbRa00","4","9","0","19","4.8","GNB","2012",,,
"44837",":stat_player_game_return","201210140mia","1","13","0","13","13.0","201210140mia_3","Brit Miller","M/MillBr01","0","0","0","0","","STL","2012",,,
"44842",":stat_player_game_return","201210140mia","2","44","0","69","34.5","201210140mia_4","Marcus Thigpen","T/ThigMa00","0","0","0","0","","MIA","2012",,,
"44843",":stat_player_game_return","201210070clt","0","0","0","0","","201210070clt_2","T.Y. Hilton","H/HiltT.00","2","7","0","13","6.5","IND","2012",,,
"44855",":stat_player_game_return","201210210ram","1","23","0","23","23.0","201210210ram_1","Randall Cobb","C/CobbRa00","1","15","0","15","15.0","GNB","2012",,,
"44858",":stat_player_game_return","201210210ram","2","27","0","50","25.0","201210210ram_2","Chris Givens","G/GiveCh00","0","0","0","0","","STL","2012",,,
"44860",":stat_player_game_return","201210210ram","1","32","0","32","32.0","201210210ram_3","Isaiah Pead","P/PeadIs00","0","0","0","0","","STL","2012",,,
"44872",":stat_player_game_return","201211110min","2","19","0","36","18.0","201211110min_1","Stefan Logan","L/LogaSt00","2","31","0","46","23.0","DET","2012",,,
"44875",":stat_player_game_return","201211110min","0","0","0","0","","201211110min_2","Alphonso Smith","S/SmitAl98","1","2","0","2","2.0","DET","2012",,,
"44876",":stat_player_game_return","201211110min","4","41","0","82","20.5","201211110min_3","Marcus Sherels","S/SherMa20","2","5","0","6","3.0","MIN","2012",,,
"44880",":stat_player_game_return","201211110min","1","8","0","8","8.0","201211110min_4","Christian Ballard","B/BallCh00","0","0","0","0","","MIN","2012",,,
"44893",":stat_player_game_return","201210070nor","0","0","0","0","","201210070nor_1","Eddie Royal","R/RoyaEd00","2","11","0","16","8.0","SDG","2012",,,
"44897",":stat_player_game_return","201210070nor","5","38","0","127","25.4","201210070nor_2","Richard Goodman","G/GoodRi00","0","0","0","0","","SDG","2012",,,
"44898",":stat_player_game_return","201210140htx","3","46","0","86","28.7","201210140htx_1","Randall Cobb","C/CobbRa00","3","16","0","23","7.7","GNB","2012",,,
"44900",":stat_player_game_return","201210070nor","2","25","0","49","24.5","201210070nor_3","Darren Sproles","S/SproDa00","2","2","0","2","1.0","NOR","2012",,,
"44901",":stat_player_game_return","201210140htx","3","31","0","65","21.7","201210140htx_2","Keshawn Martin","M/MartKe01","1","19","0","19","19.0","HOU","2012",,,
"44914",":stat_player_game_return","201210280kan","0","0","0","0","","201210280kan_1","Phillip Adams","A/AdamPh00","3","27","0","38","12.7","OAK","2012",,,
"44916",":stat_player_game_return","201210280kan","2","23","0","46","23.0","201210280kan_2","Mike Goodson","G/GoodMi00","0","0","0","0","","OAK","2012",,,
"44917",":stat_player_game_return","201210280oti","0","0","0","0","","201210280oti_1","T.Y. Hilton","H/HiltT.00","1","13","0","13","13.0","IND","2012",,,
"44918",":stat_player_game_return","201210280kan","0","0","0","0","","201210280kan_3","Javier Arenas","A/ArenJa99","5","27","0","59","11.8","KAN","2012",,,
"44919",":stat_player_game_return","201210280oti","2","9","0","9","4.5","201210280oti_2","Cassius Vaughn","V/VaugCa00","0","0","0","0","","IND","2012",,,
"44921",":stat_player_game_return","201210280kan","2","30","0","52","26.0","201210280kan_4","Shaun Draughn","D/DrauSh00","0","0","0","0","","KAN","2012",,,
"44922",":stat_player_game_return","201210280oti","1","19","0","19","19.0","201210280oti_3","Mewelde Moore","M/MoorMe00","0","0","0","0","","IND","2012",,,
"44924",":stat_player_game_return","201210280oti","1","7","0","7","7.0","201210280oti_4","Darius Reynaud","R/ReynDa00","1","19","0","19","19.0","TEN","2012",,,
"44928",":stat_player_game_return","201211010sdg","0","0","0","0","","201211010sdg_1","Dexter McCluster","M/McClDe00","1","0","0","0","0.0","KAN","2012",,,
"44929",":stat_player_game_return","201211010sdg","4","29","0","83","20.8","201211010sdg_2","Shaun Draughn","D/DrauSh00","0","0","0","0","","KAN","2012",,,
"44930",":stat_player_game_return","201211010sdg","0","0","0","0","","201211010sdg_3","Eric Weddle","W/WeddEr99","1","2","0","2","2.0","SDG","2012",,,
"44931",":stat_player_game_return","201211010sdg","1","24","0","24","24.0","201211010sdg_4","Curtis Brinkley","B/BrinCu00","0","0","0","0","","SDG","2012",,,
"45430",":stat_player_game_return","201211080jax","0","0","0","0","","201211080jax_1","T.Y. Hilton","H/HiltT.00","1","12","0","12","12.0","IND","2012",,,
"45433",":stat_player_game_return","201211080jax","2","24","0","40","20.0","201211080jax_2","Tom Zbikowski","Z/ZbikTo99","0","0","0","0","","IND","2012",,,
"45438",":stat_player_game_return","201211080jax","1","19","0","19","19.0","201211080jax_3","Micheal Spurlock","S/SpurMi00","0","0","0","0","","JAX","2012",,,
"45456",":stat_player_game_return","201211250cin","0","0","0","0","","201211250cin_1","Phillip Adams","A/AdamPh00","2","11","0","17","8.5","OAK","2012",,,
"45461",":stat_player_game_return","201211250cin","5","28","0","117","23.4","201211250cin_2","Coye Francies","F/FranCo99","0","0","0","0","","OAK","2012",,,
"45465",":stat_player_game_return","201211250cin","0","0","0","0","","201211250cin_3","Adam Jones","J/JonePa20","3","18","0","21","7.0","CIN","2012",,,
"45470",":stat_player_game_return","201211180det","4","20","0","71","17.8","201211180det_1","Randall Cobb","C/CobbRa00","0","0","0","0","","GNB","2012",,,
"45471",":stat_player_game_return","201211250cin","1","25","0","25","25.0","201211250cin_4","Brandon Tate","T/TateBr00","2","5","0","8","4.0","CIN","2012",,,
"45474",":stat_player_game_return","201211180det","2","25","0","45","22.5","201211180det_2","Stefan Logan","L/LogaSt00","1","0","0","0","0.0","DET","2012",,,
