"_id","_labels","blitzes","def_air_yds","def_cmp","def_cmp_perc","def_cmp_td","def_cmp_yds","def_int","def_pass_rating","def_targets","def_tgt_yds_per_att","def_yac","def_yds_per_cmp","def_yds_per_target","game_code","label","player","player_code","pressures","qb_hurry","qb_knockdown","sacks","tackles_combined","tackles_missed","tackles_missed_pct","team","year","_start","_end","_type"
"145474",":stat_player_game_def_adv","0","23","2","100.0%","0","26","0","118.7","2","11.5","3","13.0","13.0","202011080crd","202011080crd_4","Eric Rowe","R/RoweEr00","0","0","0","0.0","5","0","0.0%","MIA","2020",,,
"145476",":stat_player_game_def_adv","9","45","8","100.0%","0","60","0","97.9","8","5.6","15","7.5","7.5","202011230tam","202011230tam_15","Devin White","W/WhitDe02","1","0","1","0.0","9","2","18.2%","TAM","2020",,,
"145483",":stat_player_game_def_adv","3","43","2","100.0%","0","46","0","118.7","2","21.5","3","23.0","23.0","202011080crd","202011080crd_5","Bobby McCain","M/McCaBo01","0","0","0","0.0","4","0","0.0%","MIA","2020",,,
"145485",":stat_player_game_def_adv","6","9","7","77.8%","1","24","0","116.2","9","1.2","15","3.4","2.7","202011230tam","202011230tam_16","Lavonte David","D/DaviLa00","0","0","0","0.0","9","2","18.2%","TAM","2020",,,
"145486",":stat_player_game_def_adv","1","","0","","","","0","","0","","","","","202011150mia","202011150mia_11","Uchenna Nwosu","N/NwosUc00","0","0","0","0.0","1","0","0.0%","LAC","2020",,,
"145493",":stat_player_game_def_adv","0","18","2","40.0%","0","23","0","54.6","5","5.0","5","11.5","4.6","202011080crd","202011080crd_6","Xavien Howard","H/HowaXa00","0","0","0","0.0","4","0","0.0%","MIA","2020",,,
"145495",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","202011150mia","202011150mia_12","Jerry Tillery","T/TillJe00","0","0","0","0.0","2","2","50.0%","LAC","2020",,,
"145496",":stat_player_game_def_adv","0","60","7","77.8%","1","73","0","137.5","9","11.3","13","10.4","8.1","202011260det","202011260det_1","Vernon Hargreaves III","H/HargVe00","0","0","0","0.0","6","0","0.0%","HOU","2020",,,
"145498",":stat_player_game_def_adv","1","47","7","63.6%","0","91","0","89.6","11","9.9","44","13.0","8.3","202011230tam","202011230tam_17","Sean Murphy-Bunting","B/BuntSe00","0","0","0","0.0","10","1","9.1%","TAM","2020",,,
"145503",":stat_player_game_def_adv","0","31","5","62.5%","0","67","0","89.1","8","12.8","36","13.4","8.4","202011150mia","202011150mia_13","Byron Jones","J/JoneBy00","0","0","0","0.0","3","0","0.0%","MIA","2020",,,
"145505",":stat_player_game_def_adv","0","21","5","83.3%","0","90","0","118.7","6","3.8","69","18.0","15.0","202011260det","202011260det_2","Lonnie Johnson Jr.","J/JohnLo01","0","0","0","0.0","6","1","14.3%","HOU","2020",,,
"145506",":stat_player_game_def_adv","0","42","7","70.0%","0","108","0","105.4","10","5.7","66","15.4","10.8","202011230tam","202011230tam_18","Carlton Davis","D/DaviCa02","0","0","0","0.0","5","0","0.0%","TAM","2020",,,
"145511",":stat_player_game_def_adv","8","8","4","100.0%","0","37","0","105.2","4","2.0","29","9.3","9.3","202011150mia","202011150mia_14","Kyle Van Noy","V/VanNKy00","1","0","1","0.0","5","0","0.0%","MIA","2020",,,
"145512",":stat_player_game_def_adv","0","8","1","100.0%","0","6","0","91.7","1","8.0","-2","6.0","6.0","202011080crd","202011080crd_7","Shaq Lawson","L/LawsSh00","3","1","2","0.0","3","0","0.0%","MIA","2020",,,
"145515",":stat_player_game_def_adv","6","20","4","80.0%","0","41","0","100.8","5","6.0","21","10.3","8.2","202011260det","202011260det_3","Tyrell Adams","A/AdamTy00","0","0","0","0.0","17","0","0.0%","HOU","2020",,,
"145517",":stat_player_game_def_adv","0","76","4","100.0%","1","87","0","158.3","4","19.0","11","21.8","21.8","202011290buf","202011290buf_1","Tevaughn Campbell","C/CampTe00","0","0","0","0.0","3","0","0.0%","LAC","2020",,,
"145518",":stat_player_game_def_adv","2","4","1","50.0%","0","7","0","58.3","2","9.0","3","7.0","3.5","202011080crd","202011080crd_8","Nik Needham","N/NeedNi00","1","1","0","0.0","2","0","0.0%","MIA","2020",,,
"145520",":stat_player_game_def_adv","3","10","2","100.0%","0","14","0","95.8","2","5.0","4","7.0","7.0","202011260det","202011260det_4","Nate Hall","H/HallNa01","3","0","1","2.0","5","0","0.0%","HOU","2020",,,
"145522",":stat_player_game_def_adv","0","13","3","37.5%","1","23","1","45.8","8","9.8","10","7.7","2.9","202011150mia","202011150mia_15","Xavien Howard","H/HowaXa00","0","0","0","0.0","3","0","0.0%","MIA","2020",,,
"145523",":stat_player_game_def_adv","1","5","2","100.0%","1","13","0","133.3","2","2.5","8","6.5","6.5","202011230tam","202011230tam_19","Jamel Dean","D/DeanJa00","0","0","0","0.0","4","0","0.0%","TAM","2020",,,
"145524",":stat_player_game_def_adv","0","50","5","71.4%","0","67","0","101.5","7","10.0","17","13.4","9.6","202011120oti","202011120oti_1","Rock Ya-Sin","Y/Ya-SRo00","0","0","0","0.0","4","0","0.0%","IND","2020",,,
"145526",":stat_player_game_def_adv","1","17","4","66.7%","0","21","1","32.6","6","6.0","4","5.3","3.5","202011290buf","202011290buf_2","Michael Davis","D/DaviMi03","0","0","0","0.0","4","3","42.9%","LAC","2020",,,
"145527",":stat_player_game_def_adv","3","12","1","100.0%","0","17","0","118.7","1","12.0","5","17.0","17.0","202011080crd","202011080crd_9","Kamu Grugier-Hill","G/GrugKa00","0","0","0","0.0","2","1","33.3%","MIA","2020",,,
"145528",":stat_player_game_def_adv","0","50","7","100.0%","0","103","0","118.7","7","7.1","53","14.7","14.7","202011220car","202011220car_1","Jeff Okudah","O/OkudJe00","0","0","0","0.0","7","0","0.0%","DET","2020",,,
